gene,top_go
10392@,biological regulation
8767@,response to stimulus
151@,localization
2357@,cellular process
6464@,cellular process
255324@,cellular process
6416@,response to stimulus
6647@,developmental process
5562@,metabolic process
5604@,localization
5319@,immune system process
2785@,biological regulation
5063@,cellular process
2246@,developmental process
27347@,localization
51738@,multicellular organismal process
3815@,cellular process
4908@,biological regulation
3654@,biological regulation
3643@,metabolic process
3479@,metabolic process
7057@,biological regulation
2247@,developmental process
9294@,biological regulation
6288@,biological regulation
727@,biological regulation
238@,biological regulation
9043@,biological regulation
3553@,biological regulation
84432@,biological regulation
7477@,developmental process
128239@,developmental process
7334@,biological regulation
23566@,cellular process
60370@,biological regulation
5600@,biological regulation
7335@,metabolic process
7043@,biological regulation
79594@,biological regulation
29969@,biological regulation
7474@,multicellular organismal process
1852@,biological regulation
64127@,biological regulation
136@,biological regulation
10961@,response to stimulus
5607@,biological regulation
3672@,immune system process
6850@,biological regulation
7161@,biological regulation
28988@,biological regulation
3735@,biological regulation
2081@,metabolic process
200958@,metabolic process
183@,biological regulation
8550@,cellular process
7001@,biological regulation
25759@,cellular process
7039@,cellular process
5609@,cellular process
5148@,cellular process
959@,cellular process
728@,biological regulation
51196@,cellular process
1848@,response to stimulus
23162@,localization
650@,biological regulation
5605@,localization
7189@,immune system process
1902@,cellular process
8567@,biological regulation
1847@,biological regulation
6363@,cellular process
7867@,localization
5606@,metabolic process
257397@,biological regulation
1464@,metabolic process
284340@,biological regulation
79444@,biological regulation
5770@,biological regulation
7852@,developmental process
23118@,biological regulation
55872@,response to stimulus
3656@,biological regulation
6997@,response to stimulus
389400@,biological regulation
8517@,immune system process
1849@,biological regulation
2690@,biological regulation
55765@,biological regulation
5602@,cellular process
3082@,biological regulation
200734@,biological regulation
2873@,biological regulation
161742@,biological regulation
54900@,biological regulation
151649@,biological regulation
5999@,biological regulation
2874@,biological regulation
11221@,biological regulation
5998@,biological regulation
11072@,biological regulation
399473@,biological regulation
1846@,biological regulation
1844@,biological regulation
1850@,biological regulation
63904@,biological regulation
857@,biological regulation
1845@,cellular process
80824@,biological regulation
150290@,biological regulation
347688@,reproductive process
4627@,biological regulation
2801@,cellular process
9897@,cellular process
259266@,multicellular organismal process
10421@,cellular process
7375@,biological regulation
11218@,localization
9129@,cellular process
